,chi_sq_dof,chi_sq_rel_like
dd5db3,14.931621418753032,1.8451674131479836e-06
457aff,182.61498567845146,2.7674257087764867e-79
e6650b,45.57398905324643,9.082901405594074e-20
b65cf5,146.5166117054535,1.3164385553966123e-63
115ff9,103.76142316027855,4.872401308766576e-45
88d9f5,181.92514883691948,5.516559475859842e-79
7722bc,266.573304849163,9.537647017251778e-116
65ee98,25.99351125359948,2.89679699562615e-11
bd0d7d,53.66932643433159,2.7699009945749685e-23
cd40db,59.88217384178978,5.549564460279937e-26
25709d,76.45086768042776,3.536442439970622e-33
9f1b9b,26.27799777688162,2.1795514942488078e-11
7a4cd1,135.8167521184409,5.838355946554534e-59
fed4fb,49.964734096113204,1.1255071451417364e-21
bd3157,214.69111368985273,3.247809702956636e-93
eed8ca,181.6031722347318,7.612038329273795e-79
063afb,34.19297288992976,7.960440822064564e-15
bb1f89,128.336449965156,1.0350099316980768e-55
592ceb,12.513031460389874,2.0721254699907155e-05
e33636,176.37792358893535,1.415134177390363e-76
00006b,3.432338219885513,0.18201660735096153
b39843,9.072759959602813,0.0006464083800827552
cc6ded,142.81471572494632,5.334744080475249e-62
6091c4,9.96381352084767,0.0002651717979578589
1e556c,200.63238219795048,4.142095277684543e-87
fb68b1,153.46530426550063,1.2636353246325524e-66
ce6c11,186.93168374863848,3.692817278599775e-81
535252,117.32802459360383,6.249466012453443e-51
6f03ce,132.62974717065305,1.413804083415394e-57
073ffd,164.62142494800483,1.805427719762598e-71
e17a27,56.8847389050232,1.1118043096731239e-24
2af09d,223.4071812297196,5.324153137310266e-97
56190e,134.43895346660065,2.31558602963279e-58
955cbe,211.7923464764213,5.895344384404201e-92
d36145,206.37050193209265,1.334093743316626e-89
b50e44,65.43930179006621,2.142046513477743e-28
9452c6,61.78917172303034,8.2425244377585e-27
bc86e5,33.714644785288236,1.2843174239464046e-14
fe118a,112.39238487070307,8.696890595870985e-49
cf17b5,258.5965576251014,2.7777844880582407e-112
0905f1,9.277473333120692,0.0005267458098034363
c69741,74.62942334096334,2.1857969695740268e-32
048938,37.994549220900126,1.778007117190389e-16
61d39e,32.39439066293943,4.8089632097518957e-14
1c4184,66.73598126234661,5.857174426232468e-29
4e41f5,62.98022084807719,2.5049218482840985e-27
832a37,129.08580303001287,4.8922046504706405e-56
105732,16.56415903702517,3.6060662145220757e-07
e89c21,94.78960324188363,3.8384415730422586e-41
670eda,288.07990545128223,4.357559033891567e-125
98508d,3.143942793725911,0.24286199452723964
1dc963,19.359367106854737,2.2033843298541835e-08
05799d,51.487337993826316,2.455216451657032e-22
cd67ad,15.980777296907103,6.46239005581213e-07
bdc9bc,14.331091212794098,3.3638973190255603e-06
22a084,183.74953107847847,8.899163059372898e-80
0654f6,631.0424993597292,4.925850714607292e-274
bee684,41.55458922963087,5.056240976804363e-18
037172,258.94436871752055,1.9617610619185429e-112
a11eb0,126.2097896949155,8.680431962989156e-55
e40fe6,65.08567987710506,3.0507382171010458e-28
7242d9,75.2325364600573,1.1958621488785433e-32
add542,103.5013102184264,6.31987759002325e-45
408aab,193.02030028210282,8.377322916316378e-84
363269,194.72646788440406,1.5209890287881464e-84
c43dab,215.81056121921117,1.0602802948085126e-93
7b8a99,264.94408349956024,4.864106635076097e-115
5d958f,127.14751644028601,3.398535309171971e-55
b82d9c,27.38697545805185,7.1902542367262356e-12
9a187c,84.61466682192307,1.007102502836893e-36
2c1579,122.18127548264596,4.876439383564574e-53
d49e81,216.57419139392252,4.940607110525307e-94
1012d7,193.67840296959227,4.338053368578532e-84
7dee9e,78.26929141497571,5.738986459958501e-34
d3fbee,49.83850956009927,1.2769293694534054e-21
33199e,56.74620689236416,1.277003365462416e-24
c01007,105.86409746792589,5.950633490005055e-46
b5390c,180.9375821927435,1.4810272484361774e-78
e2d6e6,22.234027307095616,1.2434868420835416e-09
95a109,19.38253114814012,2.1529316442573625e-08
55e257,282.51053303698035,1.1428546156222543e-122
4baf25,120.72652348070754,2.0887843122902245e-52
f5b2cd,147.74778075390873,3.843356489854091e-64
b81c48,22.33184004180321,1.1276171259877186e-09
9b54e5,46.37938927396552,4.0592306432228176e-20
f2d15a,71.21207143290505,6.664182716351074e-31
a2a208,35.17476623581146,2.9822887185574448e-15
d3c713,55.625352725670574,3.917173622918864e-24
bbe252,8.648889526626606,0.0009876238477317658
b61da8,200.935400517141,3.059291784915817e-87
a49a85,207.68576618029564,3.5807528162214324e-90
2061a1,8.636154314274515,0.0010002818774259245
7a08a0,214.8588488005196,2.7462757495327077e-93
ee2c31,175.94508364097086,2.1816125377472747e-76
6614f2,60.536632262891665,2.884238829686486e-26
4e7a19,76.030532483042,5.3841338824559225e-33
533e34,92.03798305010586,6.0140689093357156e-40
75ac23,200.23645730556163,6.154150042618909e-87
1c3ad7,5.860364596442072,0.016055822486557434
7df917,136.87508110139345,2.026115186291544e-59
9ce1ea,28.941451335672507,1.5193014445310447e-12
b976aa,37.36080448180056,3.350929865467837e-16
43eab7,84.2689487938051,1.4230399980627879e-36
49f987,182.85466314536635,2.1776364124908616e-79
645716,158.19260739988775,1.1183560524500164e-68
23ecc5,104.22916084649948,3.0521590066540285e-45
cb157c,17.77628530030277,1.0730351520614881e-07
7c03e1,247.70986196314624,1.485013495682387e-107
2db6c3,103.17980491517636,8.716389835928593e-45
69f376,245.10318258007615,2.0127826150525614e-106
14e763,235.59997508054076,2.6976614763738633e-102
e915ca,180.11030617104723,3.3872282293411743e-78
1b7454,196.6641918048605,2.1907018515199232e-85
15be99,172.3749408884183,7.749450666673218e-75
892715,46.910082949078635,2.3876265179985958e-20
f92a7e,3.2733133804772363,0.2133902761459782
e95db2,21.884173273218916,1.7643342728729805e-09
e5e84c,122.56983014327879,3.306402229137832e-53
745c4d,19.082316587271436,2.9067773558804907e-08
741c60,3.4809168011002205,0.17338583146384898
7a6f0c,18.27395959995572,6.52344112744801e-08
ae37fb,239.28694936092907,6.757014722707978e-104
992b46,3.117983365423057,0.24924909714721308
63a033,12.163554226191215,2.9389492272754687e-05
3019e4,129.8498083024225,2.278774453925321e-56
82a415,131.50826332730634,4.3395378069754264e-57
4c76d3,48.97519077760824,3.0276206537889694e-21
b4e260,218.57309727913687,6.693704302472746e-95
89bd1c,56.984031926012676,1.0067136147929679e-24
646fe4,36.872047112977164,5.462984476974812e-16
c6b9c9,224.50561441455423,1.7750355996489764e-97
25bdd3,241.79020611196114,5.528461269740538e-105
a5206c,79.74835056370051,1.307639326958791e-34
345931,191.1713211842344,5.3223897694212976e-83
5bbd5a,11.20639289833923,7.653885593653013e-05
6c07fd,75.49264638785066,9.219700505912613e-33
eb1be1,150.25383350834124,3.135781449683827e-65
7f6c7b,64.22843963971633,7.189515880398075e-28
e023a0,193.67944041781647,4.333555196528584e-84
125cee,187.06242826378175,3.2402326790077713e-81
07ec1b,38.322168068888985,1.2812988525716061e-16
80b7b5,126.3689337529246,7.403310275746848e-55
24e937,35.16183832619663,3.0210937712042893e-15
c5580c,7.620924105075623,0.002760776682666533
0026be,185.11470684707837,2.2722748481595685e-80
85e688,12.109300432553304,3.102803027653738e-05
1510ff,169.43098126866388,1.4716899891065705e-73
62931a,201.9976062060779,1.0575741602785164e-87
e655fd,77.57617635386075,1.147760425971794e-33
c20c8b,57.90981731319209,3.9888017984315297e-25
0f7f2c,87.46841501928903,5.803721719155682e-38
600430,27.478120168301537,6.563879534622567e-12
